0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,80+ y/o % of total pop,% White-alone,% Asian-alone,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,CI90LBINC_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total Hospitals (2019),Percent of Population Aged 60+,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,diabetes_prevalence,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,Urban_rural_code,age_60_80
12.51739005,14.57878392,10.86129739,12.76117378,14.2187076,14.42114285,3.302709617,88.19070262,6.063581898,5494.0,10.0,8.0,2.1,1.6,83375.0,87391.0,155.6,3.85318324,19.0,6.2,5.6,7.0,6.7,5.5,8.0,9.9,10.8,2.5,2.3,2.7,2.0,17.338794778
11.69513798,12.3521682,10.90670171,10.64388962,11.49802891,13.79763469,4.533508541,95.53219448,0.262812089,0.0,9.9,5.3,4.6,0.0,50232.0,56775.0,93.6,0.027733618,26.5,8.7,8.0,9.4,7.9,6.9,9.0,13.7,14.5,3.4,3.2,3.6,4.0,24.57293035
11.59969272,12.59834177,12.87780456,11.97186829,12.49503324,13.15726736,4.704511139,94.46769622,0.405287277,3235.0,11.2,12.5,-1.2,0.4,37128.0,41267.0,73.5,1.253044243,23.4,10.0,9.1,11.0,12.6,10.9,14.4,14.7,15.7,3.6,3.3,3.9,5.0,20.59548091
9.507418681,12.64614358,13.52555853,11.52125508,12.3836469,15.7463962,4.590117051,81.20986797,3.792072668,19657.0,8.5,9.3,-0.8,1.2,76624.0,79604.0,117.7,2.494968097,22.6,6.7,6.1,7.4,7.0,6.0,8.2,10.5,11.3,2.8,2.7,3.0,2.0,20.079463976
10.15498114,10.84138627,10.39004755,10.82034811,11.26832073,12.86217198,6.777374157,83.54507076,2.261462293,3869.0,9.4,12.4,-3.0,3.4,49778.0,52447.0,94.6,3.632012517,32.9,10.0,9.1,11.0,10.3,8.7,11.8,14.1,15.2,3.8,3.5,4.1,2.0,26.88537006
15.51856072,14.40304726,12.35397147,15.50325642,13.0953798,11.085415,2.880609451,94.61798765,1.355280834,284.0,14.3,4.4,9.8,0.3,76485.0,84889.0,148.8,3.799440058,15.8,5.2,4.7,5.9,4.2,3.5,5.0,7.9,8.6,2.2,2.1,2.4,4.0,15.159759892
10.87866109,11.37314568,11.829593,9.699505515,10.5363256,13.7694941,6.732597946,95.85393686,0.304298212,145.0,11.7,5.3,6.4,0.0,45479.0,50981.0,87.7,0.12551275,31.4,9.0,8.1,10.1,8.8,7.5,10.3,13.4,14.6,3.5,3.2,3.8,6.0,25.18067707
13.92715416,14.96347598,12.76192402,11.20491368,11.70032606,12.00616738,4.084624523,44.42534692,0.664762531,898.0,13.4,13.3,0.1,1.3,30334.0,33983.0,76.0,1.311467489,21.8,10.0,9.3,10.8,11.2,10.0,12.4,18.4,19.3,4.4,4.1,4.6,5.0,19.3514142
12.20799434,13.44888574,10.9189954,11.62645914,12.75981606,15.7891758,3.490626105,87.19632119,1.673859215,389.0,10.9,8.8,2.1,0.9,86182.0,93462.0,128.7,0.796554463,22.3,6.3,5.7,7.0,6.5,5.5,7.6,9.9,10.8,2.7,2.6,2.9,2.0,19.758047396000002
13.72115081,13.29659907,11.26417054,11.2957861,11.11060928,13.39596224,5.514656068,96.40485976,0.600695542,304.0,13.1,10.3,2.8,0.7,61961.0,65849.0,109.6,0.827794034,24.4,7.6,6.8,8.5,7.3,6.1,8.6,10.6,11.6,3.1,2.8,3.4,4.0,20.401065896
