0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,80+ y/o % of total pop,% White-alone,% Asian-alone,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,CI90LBINC_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total Hospitals (2019),Percent of Population Aged 60+,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,diabetes_prevalence,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,Urban_rural_code
9.106126548,8.202209575,7.96786073,8.771342484,9.943086709,14.99832608,6.193505189,93.17040509,0.736524941,33.0,10.7,15.3,-4.7,0.0,46525.0,52308.0,69.5,0.027108521,34.2,9.5,8.6,10.6,9.2,7.9,10.7,13.3,14.5,4.0,3.8,4.4,6.0
6.968865946,7.356025165,24.22971447,18.58364252,10.55008872,11.35667043,4.210356509,44.87820616,3.08114212,1552.0,6.8,10.3,-3.6,24.6,29664.0,33053.0,56.4,0.085446755,20.7,9.0,8.4,9.6,10.1,9.1,11.0,17.4,18.3,4.2,4.0,4.5,6.0
6.360300542,6.569980779,17.36851302,16.91420584,19.43036869,19.22068845,0.61156736,33.37410449,41.21964005,2528.0,5.4,1.9,3.5,26.2,76360.0,82633.0,110.3,0.162973701,12.2,5.3,4.9,5.6,5.0,4.5,5.5,11.2,11.8,2.3,2.2,2.5,6.0
11.01386582,12.45510798,11.43203956,12.62752324,13.70567913,14.90084254,4.834566752,73.03862956,16.92530736,10436.0,9.9,7.8,2.1,5.1,98575.0,100181.0,122.5,8.621942141,22.6,5.9,5.4,6.5,5.3,4.4,6.2,9.9,10.6,2.7,2.5,2.8,2.0
11.79771962,11.67956519,12.45938442,11.92768949,11.75045785,14.11354641,4.235836238,95.81142553,0.206770249,1556.0,11.5,10.4,1.1,-0.1,44695.0,49639.0,89.1,0.333891921,24.0,8.9,8.0,9.8,11.2,9.7,12.9,13.8,14.9,3.4,3.1,3.7,6.0
11.80845184,11.77579016,11.47304156,11.66775539,11.44289232,13.38374956,4.578915632,92.03180745,1.30018592,935.0,12.1,11.2,0.9,0.7,53034.0,57019.0,77.0,0.971863786,27.0,8.6,7.8,9.5,8.5,7.2,9.8,12.5,13.4,3.5,3.2,3.8,5.0
12.81845688,12.91376702,13.24810893,12.28593041,11.68381241,12.74281392,3.830559758,61.86838124,1.10892587,1357.0,12.3,12.2,0.1,0.2,40754.0,43510.0,74.2,0.911119614,23.0,8.9,8.3,9.6,10.2,9.0,11.4,15.7,16.5,3.8,3.6,4.1,2.0
17.7012657,15.32407293,16.06548074,15.14951519,11.25743258,10.27546816,2.290839111,90.36539932,1.232390022,2805.0,17.0,7.8,9.1,2.0,56099.0,60431.0,99.7,2.954195175,13.9,6.0,5.6,6.5,5.9,5.2,6.6,11.6,12.3,2.8,2.6,3.0,4.0
13.2746468,14.43288498,17.10671304,14.26605928,13.56028194,11.95943242,2.099479824,77.24768383,3.527347718,5098.0,12.8,6.3,6.5,2.0,61562.0,64170.0,122.5,5.518802779,14.3,5.8,5.3,6.3,7.3,6.4,8.3,10.3,11.0,2.5,2.3,2.6,2.0
10.98921742,11.02678739,10.59097569,11.4475711,12.43190442,15.56148326,4.609835819,94.07521509,0.556035616,1619.0,10.4,10.0,0.4,0.2,49137.0,52891.0,87.0,0.608930867,27.0,8.7,7.9,9.6,8.4,7.3,9.6,11.6,12.5,3.4,3.2,3.7,6.0
